Clave,Longitud,Latitud,estaciones,comid
AM06424CC3,-67.500000000000000,5.600000000000000,svpa,610269846
AM09401CC1,-67.049999999999997,1.933000000000000,,620379955
AM09402CC1,-65.802000000000007,3.144000000000000,,610380872
AM09404CC1,-67.140000000000001,3.935000000000000,,610313065
AM09405CC1,-67.667000000000002,4.000000000000000,,610220661
AM09408CC1,-65.216999999999999,5.067000000000000,,610284837
AM09410CC1,-66.167000000000002,5.233000000000000,,610334985
AM09415CC1,-65.250000000000000,2.800000000000000,,610334253
AM09423CP1,-67.417000000000002,5.950000000000000,,610321744
AN01683CC1,-65.213999999999999,10.103000000000000,,610177172
AN01751CC1,-64.629999999999995,10.217000000000001,,610240529
AN01755CC1,-64.816999999999993,9.465000000000000,,610193931
AN01756CP1,-64.530000000000001,10.228000000000000,,610207967
AN01773CC3,-64.683000000000007,10.132999999999999,svbc,610253730
AN01790CC1,-64.566999999999993,10.083000000000000,,610237012
AN01796CC1,-64.388999999999996,10.018000000000001,,610122617
AN02605CP1,-65.501999999999995,9.919000000000000,,610193903
AN02608CP1,-65.164000000000001,9.964000000000000,,610237022
AN02620CP1,-64.730000000000004,7.757000000000000,,610204594
AN02621CP1,-65.387000000000000,8.132000000000000,,610303131
AN02647CP1,-65.486000000000004,9.760999999999999,,610255513
AN02648CC1,-65.197000000000003,9.602000000000000,,610251123
AN02650CP1,-65.009000000000000,9.151000000000000,,610247629
AN02701CP1,-64.034999999999997,9.202000000000000,,610220343
AN02703CP1,-64.739000000000004,9.968000000000000,,610157821
AN02715CP1,-64.533000000000001,9.885000000000000,,610222946
AN02717CP1,-64.352999999999994,9.907999999999999,,610171902
AN02722CP1,-64.744000000000000,9.785000000000000,,610145510
AN02725CP1,-64.533000000000001,9.744000000000000,,610217674
AN02755CP1,-64.293000000000006,9.581000000000000,,610155203
AN02757CP1,-64.483000000000004,9.483000000000001,,610208009
AN02761CP1,-64.721000000000004,9.435000000000000,,610241452
AN02764CP1,-64.483000000000004,9.300000000000001,,610178100
AN02815CP1,-63.783000000000001,9.183000000000000,,610212429
AN03712CC1,-64.715999999999994,8.845000000000002,,610181650
AN03715CC1,-64.216999999999999,8.867000000000003,,610209807
AN03718CP1,-64.870999999999995,8.680999999999999,,610165816
AN03719CP1,-64.436000000000007,8.746000000000000,,610223014
AN03720CP1,-64.608999999999995,8.494000000000000,,610118311
AN03752CP1,-64.727000000000004,8.130000000000003,,610199289
AN03762CP1,-64.885999999999996,8.420999999999999,,610221275
AN03840CP1,-63.366000000000000,8.621000000000000,,610267901
AN04712CC1,-64.775000000000006,7.703000000000000,,610347156
AP04172CC3,-70.750000000000000,7.250000000000000,svgd,610343664
AP04201CP1,-69.781000000000006,7.114000000000000,,610310233
AP04291CC1,-69.483000000000004,7.050000000000000,,610216077
AP04292CC1,-69.343000000000004,8.006000000000000,,610176417
AP04296CC1,-69.140000000000001,7.562000000000000,,610249481
AP04298CP1,-69.325000000000003,7.337000000000000,,610279419
AP04404CC3,-67.469999999999999,7.894000000000000,svsr,610318105
AP05408CC1,-67.266999999999996,6.933000000000000,,610242485
AP05484CC1,-67.450000000000003,6.183000000000000,,610374528
AR00427CC1,-66.783000000000001,9.817000000000000,,610222947
AR00438CP1,-67.579999999999998,10.356999999999999,,610134039
AR00466CC3,-67.638999999999996,10.255000000000001,svbs,610157802
AR00472CP1,-67.584000000000003,10.103999999999999,,610143734
AR01444CP1,-67.320999999999998,10.323000000000000,,610080356
AR01465CP1,-67.269000000000005,10.242000000000001,,610168361
AR01483CC1,-67.439999999999998,10.143000000000001,,610144609
AR01494CC1,-67.500000000000000,10.147000000000000,,610187729
AR01494CC1,-67.500000000000000,10.147000000000000,,610200050
AR02409CP1,-67.177999999999997,9.948000000000000,,610222940
AR02511CP1,-66.918999999999997,9.922000000000001,,610157824
AR02520CC1,-66.956000000000003,9.817000000000000,,610244070
BA03087CP1,-70.554000000000002,8.853000000000000,,610230927
BA03090CP1,-70.445999999999998,8.910000000000000,,610219482
BA03120CC1,-70.034000000000006,8.890000000000002,,610293404
BA03136CP1,-70.320999999999998,8.707000000000003,,610259975
BA03158CP1,-70.088999999999999,8.499000000000002,,610289908
BA03162CP1,-70.352999999999994,8.573000000000000,,610184303
BA03173CP1,-70.105999999999995,8.288000000000000,,610299600
BA03186CP1,-71.052999999999997,7.934000000000000,,610201062
BA03188CP1,-70.936999999999998,8.054000000000000,,610211615
BA03191CP1,-70.768000000000001,8.273999999999999,,610304001
BA03192CP1,-71.239999999999995,7.776000000000000,,610266191
BA03193CP1,-71.417000000000002,7.660000000000000,,610059399
BA03222CP1,-69.864000000000004,8.670999999999999,,610230934
BA03261CP1,-69.997000000000000,8.444000000000003,,610229192
BA03283CP1,-69.784000000000006,8.106000000000000,,610202814
BA03331CC1,-68.370000000000005,8.484000000000000,,610301349
BO03751CP1,-64.352999999999994,8.000000000000000,,610213379
BO03813CC1,-62.716999999999999,8.317000000000000,,610328639
BO03882CC3,-63.536999999999999,8.130000000000003,svcb,610356810
BO03886CP1,-63.631000000000000,8.026000000000000,,610293458
BO03909CP1,-62.652999999999999,8.343999999999999,,610296963
BO03933CC5,-62.649999999999999,8.282999999999999,,610296963
BO03994CC1,-62.383000000000003,8.016999999999999,,610225698
BO04660CP1,-65.641000000000005,7.483000000000000,,610244207
BO04661CP1,-65.510999999999996,7.317000000000000,,610224859
BO04662CP1,-63.957000000000001,7.644000000000000,,610197558
BO04663CP1,-64.849000000000004,6.983000000000000,,610135119
BO04664CC1,-65.131000000000000,7.589000000000000,,610365644
BO04665CP1,-65.605999999999995,7.117000000000000,,610307592
BO04666CP1,-65.793999999999997,7.278000000000000,,610342784
BO04667CC1,-65.180999999999997,7.421000000000000,,610310215
BO04711CP1,-64.188000000000002,7.731000000000000,,610359476
BO04800CP5,-62.917000000000002,6.967000000000000,,610350722
BO04802CP1,-63.277000000000001,7.510000000000000,,610221327
BO04907CP1,-61.490000000000002,7.433000000000000,,610280292
BO04909CC1,-61.826999999999998,7.380000000000000,,610323417
BO04909CC1,-61.826999999999998,7.380000000000000,,610322537
BO04947CP5,-62.531999999999996,7.370000000000000,,610266217
BO04949CP1,-62.073999999999998,7.868000000000000,,610211629
BO04974CC3,-61.283000000000001,7.300000000000000,svtm,610273261
BO05800CP5,-62.600000000000001,6.017000000000000,,610270701
BO05884CC1,-63.564000000000000,6.788000000000000,,610115771
BO05887CC5,-63.332999999999998,6.833000000000000,,610370091
BO05901CP1,-61.432000000000002,6.165000000000000,,610250450
BO05910CC5,-62.850000000000001,6.200000000000000,,610220529
BO05911CC1,-61.167000000000002,6.757000000000000,,610288255
BO05924CC1,-61.631000000000000,6.747000000000000,,610264495
BO06844CP5,-62.567000000000000,5.933000000000000,,610128144
BO06845CP5,-62.767000000000003,5.367000000000000,,610431779
BO06850CC1,-62.335999999999999,5.739000000000000,,610405356
BO06928CC5,-62.883000000000003,6.517000000000000,,610373629
BO06931CC5,-62.616999999999997,5.350000000000000,,610475780
BO06933CC5,-61.716999999999999,5.583000000000000,,610356967
BO06941CP5,-62.883000000000003,6.033000000000000,,610146620
BO06945CP5,-62.250000000000000,5.600000000000000,,610240803
BO07906CC5,-61.767000000000003,5.100000000000000,,610247874
BO07947CC3,-61.113999999999997,4.601000000000000,svse,610351746
CA00412CC1,-67.963999999999999,10.452000000000000,,610156921
CA00452CP1,-67.884000000000000,10.236000000000001,,610162203
CA00480CP1,-67.700000000000003,10.105000000000000,,610141091
CA00491CP1,-67.995000000000005,9.961000000000000,,610161341
CA01368CP1,-68.259000000000000,10.170000000000000,,610134927
CA01370CP1,-68.278000000000006,10.304000000000000,,610150761
CA01385CP1,-68.420000000000002,10.176000000000000,,610149888
CA02404CP1,-67.805999999999997,9.965999999999999,,610073340
CA02501CP1,-67.549999999999997,9.891999999999999,,610175427
CO02303CP1,-68.585999999999999,9.900000000000000,,610120866
CO02308CP1,-68.465999999999994,9.881000000000000,,610163984
CO02311CC1,-68.561999999999998,9.698000000000000,,610060157
CO02316CP1,-68.293999999999997,9.922000000000001,,610170142
CO02336CP1,-68.439999999999998,9.702999999999999,,610153437
CO02338CP1,-68.111999999999995,9.760000000000000,,610229112
CO02342CP1,-68.859999999999999,9.523000000000000,,610247601
CO02348CP1,-68.257999999999996,9.654999999999999,,610168399
CO02349CC1,-68.049999999999997,9.650000000000000,,610141118
CO02350CP1,-68.174999999999997,9.478999999999999,,610174570
CO02364CP1,-68.632999999999996,9.507999999999999,,610221209
CO02378CP1,-68.153000000000006,9.331000000000000,,610073378
CO03303CP1,-68.700000000000003,9.417000000000000,,610144651
CO03304CP1,-68.483000000000004,9.497999999999999,,610155209
CO03309CP1,-68.248000000000005,8.994000000000000,,610164919
CO03332CP1,-68.094999999999999,8.688000000000002,,610282852
DA02911CP1,-61.094000000000001,9.186000000000000,,610242343
DA02912CC1,-62.250000000000000,9.967000000000001,,610233502
DA02914CC1,-62.055999999999997,9.089000000000000,,610153474
DA02920CC8,-61.966999999999999,9.150000000000000,,610165790
DA03905CC1,-60.991999999999997,8.571000000000000,,610316304
DA03906CP1,-61.975000000000001,8.699000000000000,,610188696
DA03907CP1,-61.686000000000000,8.746000000000000,,610275814
DA03941CC8,-62.366999999999997,8.967000000000002,,610270521
DC00525CP9,-66.900000000000006,10.516999999999999,,610080347
DC00531CC4,-66.917000000000002,10.500000000000000,,610168348
DC01425CP1,-67.159999999999997,10.440000000000000,,610141068
FA00115CP1,-70.200000000000003,12.093999999999999,,610022174
FA00117CC1,-70.096000000000004,11.901999999999999,,610020423
FA00168CP1,-70.253000000000000,11.202999999999999,,610079425
FA00182CP1,-70.616000000000000,11.175000000000001,,610085590
FA00198CC1,-70.117000000000004,11.016999999999999,,610116398
FA00213CP1,-69.799999999999997,11.917000000000000,,610018661
FA00219CP1,-68.418000000000006,10.894000000000000,,610078564
FA00224CP1,-69.250000000000000,11.499000000000001,,610033649
FA00225CC1,-69.358999999999995,11.483000000000001,,610035414
FA00226CC1,-69.406000000000006,11.305999999999999,,610049499
FA00228CP1,-69.132000000000005,11.366000000000000,,610045976
FA00230CP1,-69.284000000000006,11.321000000000000,,610045979
FA00236CP1,-69.734999999999999,11.154000000000000,,610048626
FA00237CP1,-69.534000000000006,11.407999999999999,,610038936
FA00238CP1,-69.822000000000003,11.249000000000001,,610053902
FA00241CP1,-69.991000000000000,11.260999999999999,,610083824
FA00247CC1,-69.632000000000005,11.315000000000000,,610042458
FA00250CP1,-69.613000000000000,11.225000000000000,,610035425
FA00251CP1,-69.947999999999993,11.808999999999999,,610014271
FA00255CC1,-69.700000000000003,11.567000000000000,,610045092
FA00256CP1,-69.879999999999995,11.010000000000000,,610077677
FA00270CP1,-69.983000000000004,12.032999999999999,,610021295
FA00396CC1,-68.367000000000004,11.035000000000000,,610104075
FA01123CP1,-70.688000000000002,10.722000000000000,,610073291
FA01152CP1,-70.603999999999999,10.471000000000000,,610126116
FA01153CP1,-70.978999999999999,10.590000000000000,,610124344
FA01218CC1,-69.582999999999998,10.800000000000001,,610104970
FA01303CP1,-68.665999999999997,10.936000000000000,,610126082
GU02415CC1,-66.400000000000006,9.927000000000000,,610156062
GU02425CP1,-66.384000000000000,9.728999999999999,,610237033
GU02431CC1,-67.667000000000002,9.550000000000001,,610164886
GU02440CC3,-67.332999999999998,9.917000000000000,svjm,610207982
GU02448CP1,-67.283000000000001,9.617000000000001,,610227360
GU02469CC1,-67.055999999999997,9.382999999999999,,610303935
GU02493CP1,-67.216999999999999,9.067000000000000,,610177239
GU02499CC1,-65.567999999999998,9.215000000000000,,610179865
GU02503CP1,-66.382999999999996,9.367000000000001,,610145536
GU02505CP1,-66.433000000000007,10.052000000000000,,610103255
GU02507CP1,-66.268000000000001,9.981000000000000,,610141100
GU02513CC1,-66.063999999999993,9.451000000000001,,610252011
GU02528CP1,-66.197999999999993,9.833000000000000,,610179829
GU02539CC1,-66.042000000000002,9.692000000000000,,610217676
GU02562CC3,-66.917000000000002,9.378000000000000,svcz,610153455
GU02589CC1,-66.000000000000000,9.217000000000001,,610107706
GU02602CC1,-65.828999999999994,9.864000000000001,,610206227
GU03400CC1,-67.316999999999993,8.882999999999999,,610283726
GU03436CC6,-67.533000000000001,8.750000000000000,,610214216
GU03502CP1,-66.897000000000006,8.994000000000000,,610290757
GU03506CC1,-66.242000000000004,8.378000000000000,,610189597
GU03601CP1,-65.950000000000003,8.811000000000000,,610204530
LA01174CP1,-70.531000000000006,10.244000000000000,,610132283
LA01175CP1,-70.451999999999998,10.095000000000001,,610186852
LA01177CP1,-70.203999999999994,10.349000000000000,,610158676
LA01186CP1,-70.244000000000000,10.106000000000000,,610211491
LA01203CP1,-69.625000000000000,10.428000000000001,,610135791
LA01204CP1,-69.530000000000001,10.020000000000000,,610146378
LA01209CP1,-69.359999999999999,10.079000000000001,,610178053
LA01227CP1,-69.081999999999994,10.637000000000000,,610125219
LA01261CP1,-69.933000000000007,10.269000000000000,,610215003
LA01261CP1,-69.933000000000007,10.269000000000000,,610207961
LA01268CC1,-69.147000000000006,10.282999999999999,,610176281
LA01272CP1,-69.591999999999999,10.147000000000000,,610058369
LA02108CP1,-70.111000000000004,9.951000000000001,,610151662
LA02119CP1,-70.177999999999997,9.811999999999999,,610171911
LA02139CP1,-69.859999999999999,9.587000000000000,,610211522
LA02201CP1,-69.918999999999997,9.999000000000001,,610161338
LA02204CC1,-69.628000000000000,9.920000000000000,,610204466
LA02205CP1,-69.346999999999994,9.920999999999999,,610157823
LA02208CP1,-69.191999999999993,9.910000000000000,,610161343
LA02209CP1,-69.314999999999998,10.032000000000000,,610186857
LA02219CP1,-69.563999999999993,9.629000000000000,,610178080
LA02233CP1,-69.495999999999995,9.750000000000000,,610116474
LA02241CP1,-69.954999999999998,9.691000000000001,,610176316
LA02252CP1,-69.998000000000005,9.565000000000000,,610201846
LA02275CC1,-67.000000000000000,9.000000000000000,,610236197
LA02288CP1,-69.316999999999993,9.827999999999999,,610154309
ME03001CP1,-71.603999999999999,8.132999999999999,,610048808
ME03005CP1,-71.733999999999995,8.246000000000000,,610230086
ME03024CP1,-71.082999999999998,8.717000000000002,,610189575
ME03027CP1,-70.070999999999998,8.747000000000000,,610254692
ME03030CP1,-71.710999999999999,8.148999999999999,,610260890
ME03038CP1,-71.069000000000003,8.635000000000000,,610261740
ME03040CC1,-71.352999999999994,8.632999999999999,,610159660
ME03052CP1,-71.584999999999994,8.478000000000000,,610269671
ME03072CC1,-70.822999999999993,8.803000000000003,,610178129
ME03098CP1,-70.613000000000000,8.933999999999999,,610186922
ME03112CC1,-70.826999999999998,8.850000000000000,,610193088
ME03114CC1,-70.674000000000007,8.874000000000002,,610206287
ME03122CC6,-70.900000000000006,8.766999999999999,,610183411
ME03132CP1,-71.844999999999999,8.228000000000000,,610192245
ME03133CP1,-71.335999999999999,8.151000000000000,,610288170
ME03133CP1,-71.335999999999999,8.151000000000000,,610268809
ME03134CC1,-71.439999999999998,8.135999999999999,,610227451
ME03135CC1,-71.441999999999993,8.725000000000000,,610193096
ME03142CP1,-71.778000000000006,8.388999999999999,,610191356
ME03166CP1,-70.739000000000004,8.987000000000000,,610212439
ME08057CP1,-71.338999999999999,8.427000000000000,,610222156
ME08072CP1,-71.597999999999999,8.756000000000000,,610209813
ME08075CP1,-71.231999999999999,8.930000000000000,,610179880
MI00544CC3,-66.838999999999999,10.491000000000000,svfm,610178909
MI00549CP1,-66.667000000000002,10.292000000000000,,610205320
MI00560CP1,-66.957999999999998,10.266999999999999,,610180680
MI00563CC1,-66.930999999999997,10.411000000000000,,610148993
MI00572CP1,-66.855999999999995,10.266999999999999,,610184202
MI00585CP1,-66.960999999999999,10.053000000000001,,610127014
MI00588CP1,-66.882999999999996,10.067000000000000,,610127894
MI00589CC1,-67.016999999999996,10.150000000000000,,610162210
MI00597CP1,-66.683000000000007,10.016999999999999,,610133177
MI00623CP1,-66.864000000000004,10.442000000000000,,610083872
MI01448CP1,-67.033000000000001,10.350000000000000,,610195637
MI01488CP1,-67.099999999999994,10.100000000000000,,610149010
MI01508CP1,-66.125000000000000,10.539999999999999,,610146349
MI01510CP1,-66.757000000000005,10.375000000000000,,610145473
MI01515CP1,-66.239000000000004,10.483000000000001,,610074186
MI01516CP1,-66.167000000000002,10.475000000000000,,610133149
MI01534CC1,-66.281999999999996,10.417000000000000,,610178033
MI01542CP1,-66.516999999999996,10.382999999999999,,610192994
MI01546CP1,-66.125000000000000,10.349000000000000,,610211477
MI01555CC1,-66.367999999999995,10.298000000000000,,610148998
MI01582CP1,-66.503000000000000,10.179000000000000,,610130529
MI01586CP1,-66.238000000000000,10.224000000000000,,610262525
MI01661CP1,-65.876999999999995,10.308000000000000,,610201800
MI01662CP1,-66.010999999999996,10.307000000000000,,610183321
MI01671CP1,-65.715000000000003,10.157000000000000,,610198291
MI01682CP1,-65.968999999999994,10.153000000000000,,610222049
MI05027CC1,-66.790000000000006,10.503000000000000,,610105868
MI05037CC1,-66.757999999999996,10.141999999999999,,610247570
MI05191CP9,-66.962999999999994,10.375000000000000,,610150754
MO01810CP1,-63.360999999999997,10.192000000000000,,610226446
MO01859CP1,-63.436000000000000,10.273999999999999,,610127003
MO01874CP1,-63.710999999999999,10.124000000000001,,610186851
MO01883CP1,-63.552999999999997,10.236000000000001,,610148121
MO01886CP1,-63.517000000000003,10.163000000000000,,610141969
MO01889CP1,-63.088999999999999,10.103999999999999,,610144613
MO01897CP1,-63.560000000000002,10.007999999999999,,610179816
MO02802CC1,-63.668999999999997,9.773999999999999,,610164878
MO02809CP1,-63.469000000000001,9.968999999999999,,610211501
MO02810CP1,-63.643999999999998,9.956000000000000,,610217660
MO02811CP1,-63.451000000000001,9.050000000000001,,610261717
MO02827CC3,-63.183000000000000,9.750000000000000,svmt,610238792
MO02831CP1,-63.728000000000002,9.425000000000001,,610177212
MO02835CP1,-63.618000000000002,9.606000000000000,,610193921
MO02836CP1,-63.863999999999997,9.919000000000000,,610168380
MO02840CP1,-63.052999999999997,9.371000000000000,,610202735
MO02850CP1,-63.070999999999998,9.157999999999999,,610274909
MO02915CC1,-62.698999999999998,9.545999999999999,,610270485
MO02980CP1,-62.814000000000000,9.173999999999999,,610183388
MO03820CC1,-63.274000000000001,8.976000000000003,,610302199
MO03938CP1,-62.213000000000001,8.712999999999999,,610162295
MO03939CP8,-64.200000000000003,8.699999999999999,,610237976
NE00791CP1,-64.376999999999995,11.010999999999999,,610072397
NE00795CC1,-64.290999999999997,11.025000000000000,,610072397
NE00881CP1,-63.965000000000003,11.081000000000000,,610072397
NE00882CP1,-63.875999999999998,11.124000000000001,,610072397
NE00893CC1,-63.936000000000000,11.023999999999999,,610072397
NE01740CC1,-64.105999999999995,10.906000000000001,,610099682
NE01806CP1,-63.835999999999999,10.971000000000000,,610077681
NE01831CP1,-63.999000000000002,10.782000000000000,,610095283
PO02239CP1,-69.097999999999999,9.667000000000000,,610054878
PO02248CC6,-69.216999999999999,9.600000000000000,,610146403
PO02253CC1,-69.364999999999995,9.427000000000000,,610154330
PO02259CP1,-69.078999999999994,9.494999999999999,,610187769
PO02266CP1,-69.488000000000000,9.400000000000000,,610156091
PO02273CP1,-69.986000000000004,9.353000000000000,,610163138
PO02277CC6,-69.103999999999999,9.263999999999999,,610177222
PO02282CP1,-69.876000000000005,9.151999999999999,,610259068
PO02286CP1,-69.582999999999998,9.157000000000000,,610170188
PO02299CC3,-69.733000000000004,9.016999999999999,svgu,610168437
PO02331CP1,-68.971000000000004,9.680999999999999,,610251116
PO03214CP1,-69.653000000000006,8.788000000000000,,610326850
PO03216CP1,-69.927000000000007,8.887000000000000,,610226525
PO03273CP1,-69.460999999999999,8.942000000000000,,610178122
SU01705CC1,-64.201999999999998,10.321999999999999,,610142840
SU01716CC9,-63.482999999999997,10.429000000000000,,610126111
SU01735CC3,-64.177000000000007,10.462999999999999,UDO,610194756
SU01820CP1,-63.021999999999998,10.650000000000000,,610124338
SU01828CP1,-63.106000000000002,10.577999999999999,,610126102
SU01829CP1,-63.667000000000002,10.500000000000000,,610190349
SU01839CP1,-63.183000000000000,10.449999999999999,,610107630
SU01841CP1,-63.325000000000003,10.478000000000000,,610114670
SU01844CP1,-63.420999999999999,10.532999999999999,,610129626
SU01857CP1,-63.549999999999997,10.308000000000000,,610148121
SU01858CP1,-63.307000000000002,10.331000000000000,,610171000
SU01869CC1,-63.932000000000002,10.250000000000000,,610146363
SU01872CC1,-63.116999999999997,10.699999999999999,,610099698
SU01873CP1,-63.816000000000003,10.183000000000000,,610145488
SU01875CP1,-64.378000000000000,10.282999999999999,,610124364
SU01876CP1,-64.037999999999997,10.342000000000001,,610222037
SU01890CC1,-64.331000000000003,10.178000000000001,,610190367
SU01922CP1,-62.700000000000003,10.600000000000000,,610099701
SU01928CC3,-62.302999999999997,10.583000000000000,svgi,610166583
TA03061CC1,-72.265000000000001,8.241000000000000,,610212480
TA03073CP1,-71.944999999999993,8.199999999999999,,610201046
TA03081CP1,-72.251999999999995,8.121000000000000,,610211612
TA03082CP1,-72.162999999999997,8.167000000000000,,610281130
TA03094CP1,-72.061000000000007,8.037000000000003,,610209856
TA03097CP1,-71.765000000000001,8.023000000000000,,610247697
TA04012CP1,-72.450000000000003,7.917000000000000,,610313704
TA04014CP1,-72.245999999999995,7.933000000000000,,610215143
TA04018CP1,-72.123999999999995,7.919000000000000,,610200183
TA04022CC3,-72.450000000000003,7.850000000000000,svsa,610307550
TA04024CP1,-72.375000000000000,7.788000000000000,,610167633
TA04037CP1,-72.209999999999994,7.776000000000000,,610268831
TA04051CP1,-72.433000000000007,7.567000000000000,,610218687
TA04057CP1,-71.938000000000002,7.556000000000000,,610326924
TA04058CP1,-71.778000000000006,7.555000000000000,,610198445
TA04059CP1,-71.558999999999997,7.549000000000000,,610279406
TA04083CC1,-72.176000000000002,7.586000000000000,,610253885
TA04085CC1,-71.963999999999999,7.754000000000000,,610297872
TA04091CP1,-71.741000000000000,7.915000000000000,,610310184
TA04092CP1,-71.813999999999993,7.823000000000000,,610321628
TA04093CP1,-71.957999999999998,7.941000000000000,,610212502
TA08052CC1,-71.846999999999994,8.499000000000002,,610222147
TA08054CP1,-71.766999999999996,8.500000000000000,,610244156
TA08065CP1,-72.063000000000002,8.276000000000000,,610219523
TA08066CP1,-71.894000000000005,8.141999999999999,,610195771
TA08067CP1,-71.832999999999998,8.050000000000002,,610224813
TA09006CP1,-72.343000000000004,7.504000000000000,,610247729
TR02113CP1,-70.700999999999993,9.141999999999999,,610047872
TR02127CP1,-70.242999999999995,9.763000000000000,,610189515
TR02129CP1,-70.447999999999993,9.727000000000000,,610170154
TR02136CP1,-70.221999999999994,9.637000000000000,,610162240
TR02141CC1,-70.674000000000007,9.535000000000000,,610144646
TR02166CP1,-70.274000000000001,9.369000000000000,,610149939
TR02172CP1,-70.662000000000006,9.366000000000000,,610052256
TR02185CP1,-70.528000000000006,9.250999999999999,,610171064
TR02190CP1,-70.060000000000002,9.397000000000000,,610163134
TR02196CP1,-70.465999999999994,9.060000000000000,,610170194
VA00508CP1,-66.897999999999996,10.621000000000000,,610080347
VA00515CC3,-66.983000000000004,10.600000000000000,SVMI,610126105
VA01404CP1,-67.349999999999994,10.532999999999999,,610143706
VA05005CP1,-66.736000000000004,10.622999999999999,,610111148
VA05011CC1,-66.579999999999998,10.624000000000001,,610143701
VA09311CC1,-67.132999999999996,10.532999999999999,,610141068
YA01205CP1,-69.016999999999996,10.231000000000000,,610141088
YA01297CC8,-69.135000000000005,10.050000000000001,,610222054
YA01304CP1,-68.552000000000007,10.586000000000000,,610190341
YA01307CP1,-68.423000000000002,10.545999999999999,,610162185
YA01312CP1,-68.674000000000007,10.599000000000000,,610184181
YA01321CP1,-68.992999999999995,10.429000000000000,,610182433
YA01330CP1,-68.683000000000007,10.428000000000001,,610152512
YA01334CP1,-68.545000000000002,10.425000000000001,,610183313
YA01354CC1,-68.802999999999997,10.247999999999999,,610165722
YA01373CP1,-68.560000000000002,10.162000000000001,,610150767
YA01380CP1,-68.430999999999997,10.259000000000000,,610153402
YA01381CC1,-68.870000000000005,10.144000000000000,,610202690
YA06332CP1,-68.826999999999998,10.361000000000001,,610075954
